source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,005684,"Sedano, cotto, al microonde",it,,cat3,100,g,2.4,2.4,0.2,24,crea-2019
crea,005690,"Sedano rapa, crudo",it,,cat3,100,g,3.8,1.9,0.1,29,crea-2019
crea,005700,"Spinaci, crudi",it,,cat3,100,g,2.9,3.4,0.7,35,crea-2019
crea,005704,"Spinaci, cotti, al microonde",it,,cat3,100,g,3,3.4,0.7,35,crea-2019
crea,005705,"Spinaci, cotti, bolliti",it,,cat3,100,g,3.5,4,0.8,41,crea-2019
crea,005710,"Spinaci, surgelati",it,,cat3,100,g,0,2.8,0,15,crea-2019
crea,005720,"Zucca gialla, fresca",it,,cat3,100,g,3.5,1.1,0.1,29,crea-2019
crea,005730,"Zucchine, crude",it,,cat3,100,g,1.7,1.5,0.1,16,crea-2019
crea,005735,"Zucchine, cotte, bollite",it,,cat3,100,g,3.4,3.2,0.2,30,crea-2019
crea,005740,"Zucchine, chiare",it,,cat3,100,g,1.7,1.9,0.1,17,crea-2019
crea,005741,"Zucchine chiare, cotte, al vapore",it,,cat3,100,g,2.5,2,0,20,crea-2019
crea,005742,"Zucchine chiare, cotte, in padella grigliate",it,,cat3,100,g,5.7,0,0.2,29,crea-2019
crea,005744,"Zucchine, chiare, cotte, al microonde",it,,cat3,100,g,3,2,0.1,23,crea-2019
crea,005750,"Zucchine, scure, crude",it,,cat3,100,g,2.1,1.4,0.1,17,crea-2019
crea,005751,"Zucchine, scure, cotte, al vapore",it,,cat3,100,g,2.7,1.6,0.1,20,crea-2019
crea,005752,"Zucchine, scure, cotte, in padella grigliate",it,,cat3,100,g,5.6,2.7,0.1,37,crea-2019
crea,005754,"Zucchine, scure, cotte, al microonde",it,,cat3,100,g,3.5,1.8,0,23,crea-2019
crea,006000,"Funghi coltivati, prataioli, crudi",it,,cat3,100,g,0.8,3.7,0.2,24,crea-2019
crea,006006,"Funghi coltivati, prataioli, cotti, in padella",it,,cat3,100,g,1.5,7,0.4,46,crea-2019
crea,006010,"Funghi coltivati, pleurotes, crudi",it,,cat3,100,g,5.6,2.2,0.3,37,crea-2019
crea,006016,"Funghi coltivati, pleurotes, cotti, in padella",it,,cat3,100,g,5.3,2.6,0.4,35,crea-2019
crea,006020,"Funghi ovuli, crudi",it,,cat3,100,g,1.6,2,0.3,23,crea-2019
crea,006030,"Funghi porcini, crudi",it,,cat3,100,g,1,3.9,0.7,31,crea-2019
crea,006200,"Tartufo, nero",it,,cat3,100,g,0.7,6,0.5,48,crea-2019
crea,006500,"Patate, crude",it,,cat3,100,g,16,2,0.1,72,crea-2019
crea,006505,"Patate, con buccia, cotte, bollite",it,,cat3,100,g,17.9,2.1,1,88,crea-2019
crea,006511,"Patate, cotte, arrosto",it,,cat3,100,g,25.7,2.9,4.5,152,crea-2019
crea,006514,"Patate, cotte, al microonde",it,,cat3,100,g,17.9,2.1,1,88,crea-2019
crea,006515,"Patate, senza buccia, cotte, bollite",it,,cat3,100,g,16.9,1.8,0.1,74,crea-2019
crea,006517,"Patate, fritte",it,,cat3,100,g,29.9,3.9,6.7,192,crea-2019
crea,006570,"Patatine, fritte, confezionate in busta",it,,cat3,100,g,58,5.4,29.6,512,crea-2019
crea,006580,"Patate novelle, crude",it,,cat3,100,g,15.7,2,0.3,72,crea-2019
crea,006584,"Patate novelle, cotte, al microonde",it,,cat3,100,g,15.7,2,0.3,72,crea-2019
crea,006585,"Patate novelle, cotte, bollite",it,,cat3,100,g,14.9,1.9,0.2,68,crea-2019
crea,006590,"Gnocchi di patate, crudi",it,,cat1,100,g,37.9,3.9,0.3,164,crea-2019
crea,006591,"Gnocchi di patate, cotti",it,,cat1,100,g,34,3.5,0.2,147,crea-2019
