source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,17-760,"Shandy, 50% lager, homemade",en,,Calculated from standard lager and standard lemonade QA,100,ml,2.9,0.2,0,23,cofid-2021
cofid,17-761,Lucozade,en,,"Including lemon, orange and tropical flavours PCA",100,g,16,0,0,60,cofid-2021
cofid,17-762,Lemon curd,en,,"10 jars, 4 brands SC",100,g,58.4,0.6,4.9,266,cofid-2021
cofid,17-763,Creme egg,en,,10 samples SEA,100,g,71,4,15.9,425,cofid-2021
cofid,17-764,Bombay mix,en,,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds SN",100,g,35.1,18.8,32.9,503,cofid-2021
cofid,17-765,Mincemeat,en,,10 samples of the same brand SC,100,g,62.1,0.6,4.3,274,cofid-2021
cofid,17-766,Bounty bar and own brand equivalents,en,,Manufacturer's data (Mars). milk chocolate SEA,100,g,61,3.7,26.3,480,cofid-2021
cofid,17-767,"Stout, Guinness",en,,"Approx. 4% ABV. 10 samples including canned, bottled and draft QA",100,ml,3.2,0.4,0,37,cofid-2021
cofid,17-768,"Liqueurs, cream",en,,"17% ABV, 2 samples of Baileys Original Irish Cream QI",100,ml,21.8,3,13,305,cofid-2021
cofid,17-769,"Barbecue sauce, homemade",en,,Recipe WC,100,g,26.1,2.7,21,300,cofid-2021
cofid,17-770,"Bouillabaisse, homemade",en,,Recipe WAA,100,g,2,11.3,10.5,139,cofid-2021
cofid,17-771,"Bread sauce, made with skimmed milk, homemade",en,,Recipe WCD,100,g,15.5,4.2,1.4,88,cofid-2021
cofid,17-772,"Bread sauce, made with whole milk, homemade",en,,Recipe WCD,100,g,15.4,4.1,3.7,108,cofid-2021
cofid,17-773,"Cheese sauce, made with skimmed milk, homemade",en,,Recipe WCD,100,g,9.1,8.2,11.6,172,cofid-2021
cofid,17-775,"Cheese sauce, made with whole milk, homemade",en,,Recipe WCD,100,g,8.9,8.2,14.6,197,cofid-2021
cofid,17-776,"Soup, carrot and orange, homemade",en,,Recipe WAA,100,g,3.8,0.3,0.5,20,cofid-2021
cofid,17-777,Liquorice allsorts,en,,"7 samples, 4 brands SEC",100,g,76.7,3.7,5.2,349,cofid-2021
cofid,17-778,"White sauce, savoury, made with skimmed milk, homemade",en,,Recipe WCD,100,g,11.1,4.5,6.5,118,cofid-2021
cofid,17-779,"White sauce, savoury, made with whole milk, homemade",en,,Recipe WCD,100,g,11.6,4.4,10.8,158,cofid-2021
cofid,17-780,"Cheese sauce, packet mix, made up with skimmed milk, homemade",en,,Recipe WCD,100,g,9.2,5.6,2.4,79,cofid-2021
cofid,17-781,"Cheese sauce, packet mix, made up with whole milk, homemade",en,,Recipe WCD,100,g,9,5.5,5.7,108,cofid-2021
cofid,17-782,"Chevda/chevra/chewra, homemade",en,,Recipe SNC,100,g,35.5,18.6,31.8,487,cofid-2021
cofid,17-783,"Icing, butter, homemade",en,,Recipe S,100,g,63.4,0.2,29.4,507,cofid-2021
cofid,17-784,"Chutney, apple, homemade",en,,Recipe WCG,100,g,49.2,0.8,0.2,190,cofid-2021
cofid,17-785,"Chutney, tomato, homemade",en,,Recipe WE,100,g,40.8,1,0.2,166,cofid-2021
cofid,17-786,"Coconut ice, homemade",en,,Recipe SEC,100,g,67.1,1.8,12.3,369,cofid-2021
cofid,17-787,"Dressing, French, homemade",en,,Recipe WC,100,g,0.2,0.1,74.9,680,cofid-2021
cofid,17-788,"Dressing, oil and lemon, homemade",en,,Recipe WC,100,g,3.4,0.1,72.4,652,cofid-2021
cofid,17-789,"Dressing, yogurt, homemade",en,,Recipe WC,100,g,7.1,5.3,2.7,72,cofid-2021
cofid,17-790,"Drinking chocolate powder, made up with semi-skimmed milk",en,,Calculated from 18g powder to 200ml milk PAA,100,g,10.9,3.7,2,74,cofid-2021
